Region,Method,Avg_Similarity,Std_Deviation
Australia,deepseek,0.7161096,0.12124735
Australia,gpt,0.71721894,0.1250994
Australia,llama,0.72065943,0.12444684
Australia,mw,0.698494,0.10375151
Australia,wordnet,0.86559325,0.12771876
Brazil,deepseek,0.71735394,0.111409456
Brazil,gpt,0.7200387,0.113359176
Brazil,llama,0.7230724,0.11386841
Brazil,mw,0.6816792,0.10438922
Brazil,wordnet,0.8552703,0.12803476
Canada,deepseek,0.71476585,0.0861132
Canada,gpt,0.72065693,0.08694318
Canada,llama,0.72248924,0.08611679
Canada,mw,0.6568335,0.07435791
Canada,wordnet,0.8385844,0.12726368
China,deepseek,0.7477681,0.08581915
China,gpt,0.75527495,0.08313041
China,llama,0.7556593,0.079299845
China,mw,0.69405496,0.070818685
China,wordnet,0.85600114,0.11482431
India,deepseek,0.71685183,0.09099532
India,gpt,0.7223663,0.09417573
India,llama,0.72398466,0.0903423
India,mw,0.6606566,0.081508264
India,wordnet,0.84013724,0.1288228
Ireland,deepseek,0.69521976,0.08741156
Ireland,gpt,0.7005504,0.09173591
Ireland,llama,0.7030886,0.08949768
Ireland,mw,0.64011383,0.0780487
Ireland,wordnet,0.8302523,0.1367023
Malaysia,deepseek,0.640317,0.10796515
Malaysia,gpt,0.6472597,0.10603104
Malaysia,llama,0.6462426,0.107734025
Malaysia,mw,0.5885012,0.095600575
Malaysia,wordnet,0.8053977,0.15686332
New_Zealand,deepseek,0.7014377,0.10064506
New_Zealand,gpt,0.7011728,0.10397302
New_Zealand,llama,0.7051679,0.1004057
New_Zealand,mw,0.65992206,0.09181421
New_Zealand,wordnet,0.83718956,0.13866629
Nigeria,deepseek,0.6384053,0.10158345
Nigeria,gpt,0.641614,0.1018513
Nigeria,llama,0.6437096,0.10082758
Nigeria,mw,0.5868943,0.084892586
Nigeria,wordnet,0.8026394,0.15950146
Russia,deepseek,0.70186853,0.08279268
Russia,gpt,0.70651776,0.08492353
Russia,llama,0.7090957,0.08285316
Russia,mw,0.6468076,0.07891707
Russia,wordnet,0.8302498,0.12882057
Singapore,deepseek,0.6804407,0.09946881
Singapore,gpt,0.68491113,0.0997751
Singapore,llama,0.68544513,0.09658387
Singapore,mw,0.6275097,0.08697033
Singapore,wordnet,0.82285887,0.14602418
United_Kingdom,deepseek,0.78014404,0.078594215
United_Kingdom,gpt,0.7867633,0.08190362
United_Kingdom,llama,0.7877903,0.07558822
United_Kingdom,mw,0.74447805,0.06581163
United_Kingdom,wordnet,0.878438,0.100009166
United_States,deepseek,0.72324336,0.086836606
United_States,gpt,0.73160154,0.09431847
United_States,llama,0.7316161,0.08896153
United_States,mw,0.6686776,0.07458949
United_States,wordnet,0.84066784,0.12595947
